name_tejary,mavared_masraf,avarez_janebi,amozesh,tavajohat
Drazoic,ضد قارچ عفونت میکروبی,حساسیت ضایعات جلد, ترکیب عنوان ضد باکتری ادرار استفاده قرار پماد انگلستان ترکیب سالیسیلیک اسید استفاده قرار ,اسید بنزوئیک عنوان ماده نگهدارنده دارویی غلظت درصد استفاده قرار 
Napamide,آریتمی قلب منشا بطن فلوتر فیبریلاسیون دهلیز ,"یبوست کاهش فشار خون سردرد نظم قلبی, درد قفسه سینه اشتهایی اسهال حالات روان ","دراو خشکی دهان شود, مصرف مایعات مشکل کاهش میزان دارو ازا کاهش داد#ده صورت اختلال هوشیار قطع تنفس مسمومیت دارویی بود#باش ", علائم حیاتی بیمار کنترل بررسی الکترولیت های سرید#سر احتمال کاهش قند خون مصرف 
Propyl-thyracil,درمان پرکار تیروئید تیروتوکسیکوز گواتر سمید#سم,"تهوع استفراغ عوارض خون مشکل بینایی, زرد اسهال درد مفاصل عوارض پوست علائم کاهش کارکرد تیروئید احساس سرما افسردگی ضعف عموم",بیمار علائم تورم عموم بدن تحمل سرما پزشک اطلاع عوارض پوست گلودرد تب پزشک اطلاع داد#ده ,مصرف همزمان دارو های آمینوفیلین تئوفیلین بررسی تست های تیروئید منظم انجام 
Factorate,کمبود فاکتور هشت VIII ,"سر درد, اختلال هوشیاری, ضایعات پوست تهوع لرز تب", صورت خونریزی لثه مشاهده خون مدفوع ادرار پزشک اطلاع داد#ده همزمان مصرف آسپیرین خوددار ,علائم حیاتی بیمار حین درمان کنترل صورت افزایش ضرب قلب دارو قطع سرعت 
Albuminar,"شوک سوختگی کاهش پروتئین ,افزایش بیل روبین",سر درد فشار خون ادم ریوی تاکیکاردی کهیر استفراغ, صورت علائم افزایش حساسیت پزشک اطلاع داد#ده , موارد افزایش بیل روبین کودک توجهات میزان مصرف نوزاد شیرخوار 1 گرم ازا کیلوگرم 
Fibrinogen human, کنترل خونریزی خونریزی DIC جدا زودرس جفت حاملگی جراح قلب ریه کار رود ,گزارش شد#شو , خاص , خونریزی ها استفاده پلاسما ارجح 
Biscolax,یبوست حاد گذرا آماده بیمار اقدامات تشخیص رادیوگرافی کولونسکوپی آندسکوپی تشخیص ,تهوع درد شکم اسهال درد اطراف مقعد, مایعات غذا فیبر استفاده عادت دارو مطلوب , توجه زمان دارو شیاف 1 2 ساعت اقدامات تشخیص رادوگرافی استعمال خوراک آ « شب استفاده 
Chloromycetin,"عفونت های شدید پرده مغز مننژیت عفونت تیفوئید آبسه های مغز ,گازگانگرن", خون کاهش سلول های خون مشکل بینایی واکنش حساسیت شدید مشکلات گوارش نارسایی کبد زرد," کاهش ادرار پزشک اطلاع داد#ده احساس طعم تلخ دهان تزریق ,مشکل معمول ", درمان حتما کشت عفونت سطح خون کلرامفنکیل اندازه 
Daonil, درمان دیابت قند تبپ B سال,سرگیجه سردرد خوابید#خواب اضطراب افسردگی عوارض خون کاهش قند خون ضایعات پوست,بیمار کارت نسخه پزشک مبنی بیمار قند جیب کیف صورت ضعف شدید تعریق کرخ دست پا پزشک اطلاع داد#ده ,قند خون بیمار دقیقا کنترل رژِیم های بیمار داد#ده 
Sublimaze, بیهوشی,توقف تنفس سفت عضلات کاهش ضرب قلب, خاص نداردولی 3 5 روز مصرف دارو احتمال وابستگی دارویی ,مراقبت تنفس پایان عمل صورت 
Amoline,آسم تنگ راه هوا نارسایی احتقانی قلب توقف تنفس آپنه نوزاد,افزایش ضرب قلب لرزش دست تشنج ایست قلب,بیمار استعمال سیگار قطع همزمان مصرف نوشابه غذا های حاوی گزانتین ممنوع , دارو سریعا افوزیون ایست قلب صورت رنگ مصرف صورت افزایش ضرب قلب پزشک اطلاع داد#ده نشانه مسمومیت دارو 
Benzoin,زگیل ها کراتوزها پاپیلوم لارنکس کراتوزهای همراه سبوره رادیوتراپی اشعه x زگیل ها کراتوزها پاپیلوم لارنکس کراتوزهای همراه سبوره رادیو تراپی اشعه X , صورت تماس پوست زخم التهاب موضع ایجاد , استفاده تجویز پزشک خوداری استفاده دست ها چشم تماس ,معمولا 6 هفته منتظر جواب درمان ماند#مان 
Coumadin,پیشگیر لخته دارو ورید های عمق ترومبوز ورید عمق DVI انفارکتوس میکارد سکته قلب حملات گذرا مغز,"تب, درد شکم تهوع استفراغ مدفوع قیری, زرد ضایعات جلد",دارو پزشک قطع کرد#کن صورت اسهال مدفوع قیر سیاه رنگ پزشک اطلاع داد#ده , درمان بایست PT تست انعقاد بیمار 1.5 2 مزان کنترل رسید#رس 
Sorbilax,درمان یبوست,دل درد اسهال, خاص , خاص 
Eldoqin, درمان کک مک لک موضع کلواسمای حاملگی ملاسما لکه های تیره قهوه ای نور آفتاب سوختگی رنگ پوست صورت ,سوزش حساسیت موضع, استفاده پوست ناحیه ساعد اندازه سکه تست , دارو نور هوا تیره بنابر بیمار توصیه نور آفتاب پرهیز عصر شب دارو استفاده 
Merocar,درمان هیپرلپیدمی افزایش چربی خون ,"سردرد ضایعات پوست تهوع استفراغ درد سینه تار دید درد مفاصل عضلات, سرگیجه", دارو همراه غذا میل بیمار بایست رژیم غذا مربوطه کاهش چربی های خون مراعات ,تست های کبد انجام توصیه سب ها همراه غذا مصرف 
Lipitor,درمان چربی خون کاهش کلسترول وتریگلسیرید اولیه فامیل,سر درد ضایعات جلد درد شکم اسهال درد کمر سینوزیت علائم آنفولانزا,دارو توان غذا مصرف بیمار یاد گرفت#گیر های چربی وزن استفاده ورزش های منظم محدودیت مصرف مواد غذا , جواب داد#ده درمان سطح LDL اندازه هفته درمان انجام تست های کبد 6 12 هفته کنترل 
Precose,درمان کمک دیابت ,درد شکم اسهال نفخ, صورت عارضه گوارش پزشک مراجعه وزن منظم توصیه ,دارو آغاز غذا مصرف 
Lescol, چربی خون هیپرکلسترولمی ,سردرد ضایعات پوست اسهال تهوع دل درد سرفه سینوزیت ضعف عموم, دارو توان غذا مصرف حین حاملگی دارو مصرف کرد#کن ,تست های کبد دوره ای انجام دارو شب خواب مصرف 
Trasyiol,خونریزی فیبرینولیز التهاب پانکراس,ایست قلب آمبولی مغز نارسایی قلب سکته مغز نا رسا کلیه, خاص ,مصرف بیمار پیوند عروق کرونر قلب توصیه 
Vasotec,درمان فشار خون خفیف شدید نارسایی احتقانی قلب اختلال عملکرد کلیوی,سردرد ضایعات جلد تهوع اسهال خستگی سرفه مشکلات خون, صورت علائم آزار دهنده گلو درد تب تورم لب پزشک اطلاع داد#ده ,تست های خون صورت منظم تکرار آزمایش اسید اوریک گلوگز خون سلول های خون علائم حیاتی بیمار کنترل سرفه خشک جمله عوارض دارو 
Zestril,"فشار خون گشاد عروق نارسایی احتقانی قلب, انفارکتوس حاد میوکارد سکته قلب ","واکنش شدید حساسیت کاهش شدید فشار خون, عوارض کلیوی, عوارض خون شدید درد قلبی, سر درد سرگیجه تهوع ضایعات جلد شدید حساسیت نور ضعف عموم", میزان دارو نصف 2 مرحله استفاده رانندگی کار دقیق مصرف دارو اجتناب مصرف چای نوشابه ها همراه دارو ممنوع ,مصرف دیورتیک قطع فشار خون مصرف دارو شدید 
Lopurin,نقرس آرتریت مرتبط افزایش اسیداوریک درمان عوارض کلیوی نقرس سنگ های کلیوی اگزالات کلسیم,سردرد گزگز دست پا راش عارضه خون کهیر تهوع, غذا دارو مصرف درمان بیمار غذا های قلیایی استفاده صورت عوارض پزشک مراجعه , حین درمان آزمایش خون انجام داد#ده 
AK-ZOL,کلوکوم آب سیاه چشم زاویه درمان نارسایی قلب ادم بیمار حاد ارتفاع تشنج میکلونیک جلوگیری سنگ کلیوی,درد محل تزریق مه عارضه خون کاهش گلوبول سفید WBC خواب آلودگی,دارو صبح ها مصرف وزن مرتب اندازه ,فشار داخل چشم بیمار کنترل 
Fosamax,درمان پوکید#پوک استخوان استئوپورز سن یائسگی بیمار پاژه استخوان بیمار شبیه دوره سالمند استخوان ها تغییرات میزان مواد معدن ,سر درد نفخ درد عضلانی استخوان زخم مری, نیم ساعت مصرف بیمار خوابید#خواب نیم ساعت قضا دارو مصرف نمود#نما مصرف دارو غذا حاوی کلسیم 2 ساعت فاصله , آنتی اسید مصرف شد#شو دارو علائم گوارش هنگامی دارو ضد درد اسروئیدی مصرف 
Losec, درمان زخم معده افزایش ترشح اسید معده ترش زخم روده,سردرد سرگیجه قرار افسردگی تار دید مشکل کلیوی,دارو غذا مصرف همزمان آنتی اسید توان میل ,توصیه دارو صبحانه میل درد عضلانی مفصل همراه 
Capoten,فشار خون نارسایی قلب اختلال عملکرد بطن چپ قلب ضایعات کلیوی دیابت قند,"کاهش فشار خون اختلال حس چشایی, سرگیجه مشکل خون",دارو سات غذا مصرف استفاده درهنگام مصرف 3 ساعت مصرف بستر خوابید#خواب صورت ضایعات جلد تورم گلو دست پا پزشک مراجعه ,بیمار مشکلات خون آزمایش ضروری 
Prozac, افسردگی خورد#خور عصبی اختلالات خلق قاعدگی حملات ترس,"اضطراب خوابید#خواب اسهال تهوع تمایل خودکشی اختلال عملکرد کلیوی تحریک پذیری, راش پوست اختلال جنسی, درد عضله مفصل","دارو صبح ها استفاده احتمال کاهش قند خون دارد, آژمایش قند داد#ده بیمارن تشنج تذکر داد#ده عارضه تکرار ",تست های کلیوی حین درمان انجام بیمار صورت هفتگی وزن 
Zantac,"زخم های معده دوازدهه برگ مواد اسید معده مری, زخم مری",سردرد سر گیجه اسهال درد عضلانی مشکلات خون,دارو منظم استفاده , 2 ساعت غذا مصرف میزان تجویز نارسایی کلیه کاهش تجویز B 12 درمان دراز ضروری تست های کبد ضروری 
Bretylol, نظم های ریتم قلب بطن تاکیکاردی بطن فیبریلاسیون بطن احیاء قلب ریه پیشرفته ,کاهش فشار خون سر گیجه تهوع استفراغ,وضعیت بیمار قرار گرفتن تخت توجه قرار گرفت#گیر ,فشار خون ضرب قلب ریتم قلب کنترل 
Migranal,سردرد های حمله ای میگرن سردرد خوشه ای سردرد های مزمن,سرگیجه استفراغ تهوع اختلال دید خشکی دهان تورم دست پا,دست پا گرم نگهدارید میزان مصرف دارو داد#ده مصرف همزمان ارگوتامین اریترومایسین ممنوع , صورت تهوع استفراغ درد ضعف اندام مسمومیت دارویی بود#باش دارو آغاز سردرد مفید تر 
. . . . . . . . .,درمان ناتوان جنس اختلال نعوظ مرد FDA سازمان مجوز دهنده دارو غذا آمریکا مجوز مصرف داد#ده , قرار تحریک پذیرفت#پذیر لرزش دست عصبانیت," رفتن فشار خون سیخ مو تپش قلب جزء علائم مسمومیت دارویی است, پزشک اطلاع داد#ده ", دارو ضد افسردگی ها تداخل فشار خون افزایش 
Brevibloc,درمان آریتمی بطنیدر تاکیکاردی بالا بطن,کاهش فشار خون خستگی عصبانیت تعریق گیجید#گیج, صورت بریدکاری سرگیجه شدید خواب آلودگی پزشک مراجعه علامت مسمومیت , تزریق رقیق قبلاز تزریق دارو مخلوط شد#شو 
Timoptic, کاهش فشار داخل کره چشم,"تهوع سرگیجه خستگی, کاهش فشار خون, ضایعات جلد",احتمال حساسیت موضع سوزش چشم بالاست ,دارو چشم توانست#توان جذب عموم تنگ نفس صورت جذب سیستمیک میکند 
Inderal,"فشار خون نظم ریتم قلبی, درمان درد قلب پیشگیر سردرد عروق","خستگی کاهش فشار خون درد قفسه سینه وزوز گوش اشکال صحبت کردن, تهوع اسهال شب ادرار کاهش میل جنس عفونت مجاری ادرار درد کلیوی درد مفاصل کمر درد ضایعات پوست",مصرف دارو ناگهانی قطع دارو سالمند احتیاط مصرف موارد اضطراب تپش قلب کاربرد ,فشار خون نوار قلب بیمار کنترل دارو همراه غذا تجویز 
Betoptic,افزایش فشار داخل کره چشم فشار بالا داخل چشم,"ریزش اشک, قرمزی, ترس نور ندرت خوابید#خواب",بیمار دارو ناگهانی قطع راننگی کار دقیق ظریف خوددار نمایید تنگ نفس , دارو پزشک عمل لیزر بیمار آب سیاه توصیه میکند فشار خون بیمار کنترل دارو کاهش فشار خون توانست#توان جذب سیستمیک 
Marplan,افسردگی کودک فعال توجه ADHD بیمار وسواس اختلالات پانیک درد های مزمن میگرن,عوارض متضاد میتواند ایجاد خوابید#خواب خواب آلودگی تغییرات فشار خون یبوست خشکی دهان ضعف زرد افزایش اشتها اسهال عرق شدید ضایعات پوست, صورت علائم آزار دهنده پزشک اطلاع داد#ده بیمار همزمان الکل کافئین استفاده نمود#نما , بهبود اولیه میزان مصرف کاهش داد#ده ارزیاب مفید دارو ماه وقت 
Hospholine Iodide,"گلوکوم زاویه مزمن گلوکوم عمل جراحی, کاتاراکت آب مروارید اقدامات تشخیص چشم پزشک تشخیص ازوتروپی تطابق ",سردرد اختلال قلب تار دید تکرار ادرار تهوع استفراغ اسهال, صورت استفاده طولانی بهد ماه دارو روز قطع ,مصرف دارو 2 3 هفته عمل قطع حداکثر میزان استعمال دارو چشم 2 قطره روزانه بالغین 
Pesid, زخم معده روده جلوگیری عود زخم جلوگیری برگ مواد غذا اسید معده مری,اسهال سرگیجه ضایعات پوست پستان, ظهور آثار درمانی روز وقت همراه آنتی اسید مصرف شد#شو مصرف رانندگی پرهیز ,کارکرد کلیه کنترل دارو همراه غذا مایع تجویز 
Azopt,کاهش فشار کره چشم,سوزش چشم تار دید تهوع ضایعات جلد چشم, ابتدا درمان اختلال بینایی موقت تظاهر , دارو طریق سیستمیک جذب دارو آثار سیستمیک گذاشت#گذار وضعیت کبد آزمایش کبد کنترل صورت استفاده قطره های چشم 2 10 دقیقه فاصله 
Tensilon, تشخیص بیمار میاستنی گراویس بررسی نتایج درمانی میانستنی کاربرد ,ضعف عموم تهوع استفراغ درد گرفتگی عضلات تشنج اسهال تنگ نفس,عوارض جانبی دارو گذرا , مسمومیت آتروپین سولفات آماد#آمای دارو سریع الاثر کودک وسالمندان دارو حساسترند 
Duraphat,پیشگیر پوسیدگی دندان آّ شامیدنی مناطق فلوراید کمتر 0.7 PPM درمان پوکید#پوک استخوان کاربرد ,"سردرد, ناراحت گوارش ضایعات جلد رنگ دندان زمان استفاده دهان شویه"," بالغین میزان 5 10 میلی گرم مسمومیت تشنج آریتمی قلب همراه است, اسهال شدید مدفوع قیر رنگ خواب آلودگی شدید درد شدید شکم علائم مسمومیت ",توصیه نمایید بیمار صورت همزمان مصرف لبنیات خوددار 
. . . . .," دارو حاوی ویتامین های A,D,E,B 1 ,B 2 ,B 6 ,B 12 نیکوتینیک اسید ویتامین C کلسیم بیوتین ",مصرف خودسرانه ویتامین ها ممنوع میزان بالا عارضه , دستور پزشک دارو مصرف ,کودک سوء تغذیه مادر باردار شیرده برنامه 
Liquaemin,پروفیلاکسی پیشگیر درمان لخته های ورید عمق اندام های تحتانی درمان آنژین قلب ناپایدار درمان کمک انفارکتوس میوکارد تشخیص درمان انعقاد منتشر داخل عروق DIC ,خونریزی درد خفیف تب خارش, صورت خونریزی ضایعات جلد پوست پزشک اطلاع داد#ده صورت فراموش وعده دارو میزان 2 وعده بعد پرهیز , مسمومیت شدید خونریزی علامت بارز معمولا قطع دارو بهبود صورت بهبود دارو پروتامین سولفات استفاده تزریق ورید هپارین جلد عضلانی ارجح 
Calsium dobesilate,اختلال عروق نارسایی عروق ضایعات شبکیه چشم ادم اندام ها,یبوست خشکی دهان اشتهایی,دارو همراه غذا مصرف , دارو دارو آنتی بیوتیک تتراسیکلین فن توئین آهن آسپیرین تداخل 
Alegel,آنتی اسید کنترل اسید کنترل کاهش اسیدیتی معده افزایش فسفات خون نارسایی کلیه,یبوست مسمومیت آلومینیوم اشتهایی ضعف عضلانی,کاهش اشتها یبوست بیمار تذکر داد#ده , علائم کاهش فسفات ضعف هشدار داد#ده 
Botox - Dysport,استرابیسم چشم بلفارو اسپاسم کمر درد گرفتگی اسپاسم عضلات ضایعات فلج مغز فلج اطفال, چشم ریزش اشک ترس نور خشکی زخم قرینیه عضلات شل شدید عضلانی, تزریق گاه بیمار خواب آلود#آلای ضعف عموم دارو آنتی بیوتیک ها جنتامایسین تتراسایکلین تداخل دارویی , تزریق دارو دارو امکانات احیاء احتمال حساسیت دارویی آماده ویال توان استفاده 
Adenocard,حملات تاکیکاردی قلب PAT ,تار دید سر گیجه درد قفسه سینه مه عارضه آریتمی قلب ,نوشدیدن قهوه مصرف دارو مفید صورت درد سینه پزشک مراجعه مصرف دارو برافروختگی صورت میکند حملات برونکو اسپاسم ,وضعیت بیمار مونیتورینگ کنترل دارو بیرنگ شفاف محلول آدنوزین فاقد بلور دارو فاقد ماده نگهدارنده مانده ریخت#ریز 
Epivir, درمان عفونت ویروس هپاتیت B HIV,سر درد خستگی سرفه تب لرز اشتهایی راش پوست کچلیموضعی درد های مفصل عضلانی,زمان مصرف دارو غذا دارو پزشک قطع ,آزمایش کبد آمیلازسرم انجام آزمایش خون خون احتمال ضروری 
Zovirax,ضایعات تبخال ویروس هرپس عفونت های اولیه عود های جلد پوست چشم زونا آبله مرغ,"سر گیجه تهوع استفراغ اختلال عملکرد کلیوی راش ,و عوارض خون",آسیکلوویر غذا معده خال مصرف مخلوط شیر کاهش میشود موضع بیمار پوست آب صابون شست صورت عارضه پزشک اطلاع داد#ده ,عوارض دارو تزریق ورید بیمار حین مصرف خوراک تزریق مایعات دریافت عملکرد کلیه BUNcr آزمایش خون CBC پلاکت کنترل 
Gytoven,عفونت چشم سیتومگال ویروس CMW -در ایدر پنومونی اسنفالیت ضعف ایمن کاربرد ,عوارض خون کاهش پلاکت خون تمایل خونریزی مشکلات کلیوی تنگ نفس کهیر تهوع ضایعات جلد درد عضلات ضعف افت فشار خون,بیمار مایعات استفاده حاملگی برد مطمئن جلوگیری باردار استفاده عوارض شدید قرار توهم اختلالات بینایی پزشک اطلاع داد#ده , دارو عوارض مهم جمله کاهش گلوبول های سفید خون پلاکت تست های کلیوی صورت منظم انجام 
Amyl nitrite,درد قلب آنژین صدر درمان مسمویت سیانیدها,سر درد شدید کاهش فشار خون تپش قلب غش تهوع گر گرفتگی,آمیل نیتریت شدت اشتعال بیمار یاد داد#ده حالت دراز کش خوابیده ناگهانی نا یستد , دارو دارو ضد فشار هیستامین تداخل عملکرد شکستن آمپول پارچه پیچاند#پیچان 
Imdur," درمان طولانی آنژین قلبی, نارسایی احتقانی قلب",سردرد کاهش فشار خون تپش قلب تاکیکاردی افزایش ضرب قلب نظم قلب احساس گرما داغ شدنبدن خستگی,دارو 2 ساعئ غذا میل دارو دستور پزشک مصرف عارضه سردرد دارو شایع دارو محض احساس درد قفسه سینه زبان گذاشت#گذار ,علائم حیاتی بیمار کنترل الکل آسپیرین تداخل دارویی 
Nitrocontin," درمان پیشگیر درد های قلب آنژین قلب نارسایی مزمن قلب آنفارکتوس حاد میوکارد, اسپاسم منتشر ریه فشار خون حاملگی",سردرد تهوع قرار خستگی رنگ پریدگی پماد خارش تاول جزء عوارض موضع ,قرص نیتروگلیسیرین معده خال مصرف قطع ناگهانی دارو پرهیز ,علائم حیاتی بیمار کنترل صورت تهوع تعریق کاهش فشار خون مسمومیت دارویی بود#باش 
Isordil, درمان آنژِین قلب پیشگیر درد های قلب مهار حملات درد های قلب درد قلب نارسایی قلب بیمار های عروق محیط اسپاسم مری,سردرد کاهش فشار خون تپش قلب تاکیکاردی افزایش ضرب قلب نظم قلب احساس گرما داغ شدنبدن خستگی,دارو 2 ساعئ غذا میل دارو دستور پزشک مصرف عارضه سردرد دارو شایع دارو محض احساس درد قفسه سینه زبان گذاشت#گذار ,علائم حیاتی بیمار کنترل الکل آسپیرین تداخل دارویی 
Flagyl,عفونت های میکروبی هوازی اسهال خون اندوکاردیت عفونت شکم,"مشکلات کبد کلیوی تهوع احساس سوزش مجاری ادرار سرگیجه سنکوپ, ضایعات پوست کهیر"," دارو معده خال مصرف عفونت زن میکروب تریکوموناس بایست همسر درمان تشنج علائم منگ نشانه مسمومیت بیمار است, پزشک مراجعه ",آزمایش خون انجام دارو لیتیوم تداخل دارویی تزریق ورید دارو آهستگی انجام 
Ifex,ضد سرطان های بیضه ریه تخمدان پستان معده ضایعات بدخیم خون,تهوع استفراغ کچلی ناراحت قلب ضایعات کبد کلیوی,مراجعه پزشک درمان مطلوب جلوگیری عوارض احتمال تست های ضرورری ,انجام تست های کبد کلیوی خون حین درمان ضروری دارو مثانه سمید#سم بنابر بیمار گوشزد زود زود ادرار کندو مثانه ادرار باقی ماند#مان 
Furacin,عفونت های سطح پوست سوختگی ها,ضایعات جلد خارش تورم موضع, صورت حساسیت موضع دارو قطع ,احتمال عفونت های ثانویه صورت خوردن کرم فکرمسمومیت دارویی بود#باش 
Furadantin,عفونت های ادرار,"تهوع استفراغ, نورپاتی محیط حس کرخت اندام ها درد سینه تب ضایعات پوست رنگ ادرار", مسئله رنگ ادرار دندان دارو مایعات میل ضعف عضلانی پزشک اطلاع داد#ده , درمان نمونه کشت داد#ده آنتی بیوگرام انجام داد#ده 
Furoxone,اسهال عوامل باکتریال پروتوزوئری اسهال ژیاردیا اسهال مسافرت سالمونلوز آلودگی میکروب سالمونلا ,تهوع استفراغ دل درد اسهال خارش ضایعات پوست,افت قند خون صورت ضعف عموم غش مصرف همزمان شکلات دارو توانست#توان تشدید عوارض همراه ,جلو دهیدراتاسیون بیمار تغییرات فشار خون شایع 
Florane,بیهوشی عموم سرپایی تشنج های درمان دارو پاسخ نمیدهد کاربرد ,مه مشکل هیپرترمی بدخیم اختلال کلیوی کبد درد عضلانی کاهش فشار خون اختلالات تنفس جمله عوارض دارو ,بیمار اطلاعات دارویی پزشک ثبت تاریخچه پزشک ارائه نمود#نما ,ضعف عملکرد قلب جمله عوارض مراقب 
Crinone,"هورمون درمانی زمان یائسگی, اختلالات هورمون قطع قاعدگی شوند, خونریزی رحم درمان نارسایی جسم زرد تخمدان","ایست قلب مه عارضه سرگیجه سردرد میگرنی, فشار خون تهوع قاعدگی, رنگ پوست کاهش میل جنس جمله عوارض ", صورت سرگیجه درد ساق تورم اندام تحتانی پزشک اطلاع داد#ده مشکلات بینایی پزشک اطلاع داد#ده , اختلالات قاعدگی ماهانه استروژن استفاده صورت تزریق عضلانی عمیق تزریق قند خون عده ای رود مشکلات چشم 
----,"پیشگیر باردار جلوگیری باردار مقاربت فوری درمان قاعده نشدن امنوره پرمو هیرسوتیسم درد قاعدگی, خونریزی خونریزی معمول رحم",تهوع سردرد سرگیجه تومور کبد ضایعات پوست فشار خون افسردگی درد شکم اسهال یبوست میل جنس بدخیم رحم تومورهیپوفیز ضایعات جلد, قرص روز پنجم قاعدگی 21 روز مصرف عدد روزانه دارو 7 روز قطع روز 8 دوره منتظر قطع خونریزی قاعدگی بود#باش مصرف دارو قرص روز ساعات معین استفاده ,مراقب عوارض جانبی دارو بود#باش صورت افسردگی شدید دارو قطع آسم میگرن دارو تشدید 
Acthar,تست تشخیص نارسایی غده آدرنال درمان حمله حاد اسکلروز مولتیپل تشنج میوکلونیک کودک سرکوب ایمن درمان التهاب,خونریزی معده تشنج نارسایی قلب تهوع عوارض پوست ضعف عضلانی پوکید#پوک استخوان عفونت های ریوی آبسه کاهش کودک,تزریق دارو توام درد شدید درست محلول پودر آب مقطر استفاده , هورمون تشخیص قطع شکست انجامد وزن وضعیت الکترولیت های بیمار کنترل تجویز دراز کودک خوددار 
Andriol,"مشکلات کمبود عملکرد غدد جنس مردان, بلوغ دیررس پسر درمان سرطان پیشرفته پستان خانم ها, درمان خون","پرمو زن بم ضدا آکنه صورت, کاهش میل جنسی, طاس مردانه شوره سر", همراه دارو رژیم غذا کالری پروتئین استفاده ,تزریق عضلانی صورت عمیق سطح کلسیم خون اندازه 
Cytadren,افزایش هورمون پرکار غده کلیوی درمان فرع سرطان پستان سرطان پروستات مرد مهار عمرکرد غده بیمار کوشینگ,عوارض خون سر درد سرگیجه راش پوست تهوع وبالا رفتن فشار خون مویی, مسن دارو بالاتری همراه تهوع استفراغ تدریج بهبود رانندگی کار دقیق زمان مصرف ممنوع , دارو میبایست بیمارستان مصرف آزمایش های خون کنترل 
Cytomel, کاشت#کار تیروئید هپوتیروئید گواتر ساده سمید#سم,سردرد لرزش دست پا خوابید#خواب عصبانیت نظم کارکرد قلب کاهش وزن تعریق عوارض پوست,دارو صبحانهمیل درد قفسه سینه تپش قلب پزشک اطلاع داد#ده ,علائم حیلاتی بیمار کنترل قطع نگهانی دارو ناک بیمار قلب احتیاط مصرف 
Delestrogen,درمان علائم نشانه های متوسط شدید عروق هورمون یائسگی کمبود استروژن دلیل برداشتن تخمدان هیپوکنادیسم سرطان پروستات,سر درد تهوع سر گیجه افسردگی رنگ پوست ریزش مو درد شکم سرگیجه کول التهاب روده التهاب واژن مشکل ادرار ...,بیمار بایست پیگیری آزمایش ها پزشک همکار دیابت بیمار بایست کنترل , دارو غلظت چربی خون برد دارو احتباس مایعات بدن آسم بیمار عروق کرونر احتیاط تجویز 
Eltroxin," درمان کاشت#کار تیروئید, کومامیکزودم","سردرد درد قلب تهوع, اسهال ,درد عضلانی عوارض پوست ایست قلبی, عصبی لرزش دست پا تپش قلب",دارو عوارض شدید قلب تنفس شد#شو صورت پزشک اطلاع داد#ده داروصبح ها مصرف ,سطح سرمی هورمون های تیروئید اندازه بیمار قلب احتیاط مصرف 
Eluxexin,کارسینوم پروستات مویی طبیعی هیرسوتیسم ,تهوع استفراغ اختلال جنس همولیز سردرد قرار ترشح شیر پستان, صورت کمبود اندام ها پزشک اطلاع داد#ده مایعات نوشید#نوش ,احتمال خونریزی غلظت اسید اوریک خون سنجیده تماس بیمار بیمارران آبله مرغ هرپس جلوگیری 
Estracyt,ضد سرطان پروستات سرطان های متاستاتیک جا مختلف , خوابید#خواب اضطراب تهوع زرد تنگ نفس بزرگ پستان,استفاده دارو مبتلا آبله مرغ هرپس ممنوع ,تست کبد بررسی 
Estragvard,درمان عوارض یائسگی دستگاه تناسلی زن آتروفی واژن ,"تهوع استفراغ صورت مصرف مزمن مشکلات قلب عروقی,احتمل سرطان سینه آدنوم کبد سکته قلب مصرف سیستمیک گروه دارویی استروژن صورت موضع علائم محدودی ", دارو خواب استعمال ,معاینه سالانه حرکت طولانی بیمار ممنوع 
Glucagon,کاهش شدید قند خون مصرف انسولین موارد تشخیص,سرگیجه تهوع استفراغ ضایعات جلد برونکواسپاسم, صورت عوارض اسپاسم هوا پزشک اطلاع داد#ده صورت اسهال استفراغ مسمومیت مطرح , دارو دارو های ضد انعقاد خوراک تداخل دارویی 
Honvan,درمان سرطان پستان جانشین استروژن,تهوع استفراغ اشکالات گوارش اشتهایی ضعف عموم,دارو غذا مصرف حساسیت نور بیمار افزایش ,بیمار کنترل نوار قلب قرار داد#ده احتمال ژنیکوماستی بیمار تذکر داد#ده 
Iletine,کنترل دیابت قند کتواسیدوز دیابت دیابت حاملگی,"کاهش قند خون تورم قرمزی درد محل تزریق, ضایعات جلد آتروفی لاغرید#لاغر محل تزریق شوک حساسیت شدید ", زمان تزریق انسولین رگولار ساعت غذا سطح قند خون دستگاه خانگی اندازه بیمار بایست کنترل قند خون رژیم رعایت , انسولین رگولار ساعت غذا انسولین رگولار NPH خواهید_تزریق انسولین رگولار داخل سرنگ کشید#کش 
Miniluyn,جلوگیری داشت#دار درمان اختلالات عادت ماهانه,"افسردگی ترومبوز ورید لخته خون پا افزایش قند خون, تهوع", محل تزریق آبسه ایجاد صورت هرگونه درد تورم ساق نشانه ای لخته خون ورید ها ترومبوز پزشک اطلاع داد#ده استعمال دخانیات همزمان ممنوع , بیمارن تشنج آسم اختلال قلب احتیاط مصرف 
Nolvadex,سرطان پستان سرطان تخمدان,"تهوع استفراغ نظم قاعدگی سبک سر کاهش اشتها ریزش مو, کاهش میل جنس مرد خارش",ضعف خواب آلودگی تنگ نفس پزشک اطلاع داد#ده وزن کنترل ,آزمایش دوره ای ضروری احتمال خونریزی ماهانه منظم حاملگی مجاز تجویز نیستید 
