name,description,indication
CP-601927,"cp-601,927 used trial studying basic science treatment major depressive disorder ",
Triclabendazole,triclabendazole manufactured novartis pharmaceutical antihelminthic drug approved fda february 2019 treatment fascioliasis human fda label l5452 fascioliasis parasitic infection often caused helminth _fasciola hepatica_ also known “ common liver fluke ” “ sheep liver fluke ” _fasciola gigantica_ another helminth parasite infect human following ingestion larva contaminated water food triclabendazole previously used treatment fascioliasis livestock approved human use drug currently fda-approved drug individual fascioliasis affect 2.4 million people worldwide a174988 l5452 , drug indicated treatment fascioliasis patient aged 6 year old fda label l5452 
Inclacumab,inclacumab used trial studying treatment prevention myocardial infarction peripheral arterial disease pad coronary heart disease graft occlusion vascular ,
AZD-4547,azd4547 used trial studying treatment cancer lymphoma gastric cancer adenocarcinoma solid neoplasm among others ,
Tulobuterol,tulobuterol used trial studying treatment chronic obstructive pulmonary disease ,
Stem bromelain, primary therapeutic use stem bromelain currently formally indicated burn wound eschar debridement agent approved ema since 2012 marketed brand name nexobrid fda label bromelain belongs category protein-digesting enzyme obtained commercially fruit stem pineapple a27198 although fruit stem bromelain prepared differently contain different enzymatic composition general term bromelain typically refers stem bromelain a27198 bromelain consequently composite mixture several different endopeptidases facilitate many different reaction many different substrate action allows bromelain demonstrate wide range therapeutic benefit ranging cardiovascular anticancer therapy specific mechanism action elicit effect currently properly understood , primary medical purpose stem bromelain sb currently indicated removal eschar adult deep partial- full-thickness thermal burn fda label besides official indication however also believed sb may used treatment several purpose well including cardiovascular health osteoarthritis autoimmunity blood clotting diarrhea cancer surgery debridement although specific mechanism action indication remain elucidated a27198 
Cixutumumab,cixutumumab used trial studying treatment lung cancer malignant neoplasm leukemia mast-cell non-small-cell lung carcinoma adenocarcinoma prostate cixutumumab highly specific recombinant human monoclonal antibody high affinity insulin-like growth factor-i receptor igf-ir igf-ir overexpressed variety tumour type ,
Moxaverine,moxaverine investigated treatment retina ocular physiology regional blood flow ,
PG-701,hydroxytriptolide investigated treatment rheumatoid arthritis ,
GDC-0810,arn-810 used trial studying basic science treatment breast cancer ,
ABT-751,abt-751 investigated treatment lung cancer non-small cell lung cancer non-small-cell lung cancer ,
Vadadustat,one common symptom advanced renal disease anemia caused primarily inability kidney respond anemic condition corresponding increase erythropoietin epo production a244165 treatment anemia chronic kidney disease ckd traditionally involved administration exogenous erythropoiesis-stimulating agent esas darbepoetin alfa counter decrease endogenous epo production efficacious overuse esas associated cardiovascular complication progression ckd increase overall mortality a244165 relatively new alternative treatment option patient anemia ckd small molecule inhibitor hypoxia-inducible factor prolyl-hydroxylase hif-ph agent inhibit prolyl-hydroxylase domain oxygen sensor essentially mimic hypoxic condition activates hypoxia-inducible factor transcription factor serf multitude role including stimulation erythropoiesis a244165 vadadustat orally administered inhibitor hypoxia-inducible factor prolyl-hydroxylase hif-ph currently approved japan l39610 treatment anemia due ckd dialysis-dependent non-dialysis dependent adult patient currently awaiting regulatory decision fda indication safety efficacy vadadustat shown non-inferior darbepoetin alfa patient anemia ckd undergoing dialysis a244145 a244155 meet prespecified noninferiority criterion cardiovascular safety similar study patient non-dialysis-dependent ckd a244150 ,
Bamosiran,bamosiran used trial studying treatment glaucoma ocular hypertension open angle glaucoma ,
Platinum,platinum investigation treatment metastatic breast cancer non-small cell lung cancer gastric large cell neuroendocrine carcinoma colorectal large cell neuroendocrine carcinoma pancreatic large cell neuroendocrine carcinoma among others platinum investigated treatment supportive care ovarian cancer fallopian tube cancer peritoneal primary cancer non small cell lung cancer primary peritoneal carcinoma among others ,
Abicipar Pegol,abicipar pegol used trial studying treatment macular edema macular degeneration ,
CG-200745,cg200745 used trial studying treatment solid tumour ,
Radiprodil,radiprodil used trial studying treatment infantile spasm diabetic peripheral neuropathic pain ,
Ascrinvacumab,ascrinvacumab used trial studying treatment basic science neoplasm advanced solid tumor carcinoma hepatocellular malignant pleural mesothelioma ,
CRS-3123,crs3123 used trial studying treatment clostridial infection clostridium difficile colitis ,
Begacestat,begacestat used trial studying treatment basic science alzheimer disease ,
Atevirdine,atevirdine used trial studying treatment hiv infection ,
Fexinidazole,"human african trypanosomiasis hat also colloquially referred sleeping sickness caused _t brucei gambiense_ _t brucei rhodesiense_ remains moderate risk 1/10,000 inhabitant per year endemic area despite focussed control effort transmitted bite infected tsetse fly hat biphasic first hemolymphatic stage progress second meningoencephalitic stage patient experience progressively worsening neurological symptom eventually die left untreated a237550 historical treatment option meningoencephalitic hat include melarsoprol eflornithine nifurtimox eflornithine combination therapy nect though melarsoprol highly toxic treatment requires lengthy infusion difficult administer resource-limited setting a237550 a237560 fexinidazole originally developed 1970s/80s hoechst ag subsequently rediscovered drug neglected disease initiative dndi 2005 first all-oral treatment first second stage hat caused _t brucei gambiense_ a237555 a237560 fexinidazole received positive opinion european medicine agency ema november 2018 approved fda july 16 2021 a237555 l35940 currently marketed sanofi-aventis l35940 ",fexinidazole nitroimidazole indicated treatment first-stage hemolymphatic second-stage meningoencephalitic _trypanosoma brucei gambiense_ human african trypanosomiasis hat patient 6 year age older weighing least 20 kg l35940 due decreased efficacy observed patient severe second stage hat cerebrospinal fluid white blood cell count csf-wbc 100 cells/μl fexinidazole used patient available treatment option l35940 
Epofolate,epofolate used trial studying treatment advanced solid tumor epofolate bms-753493 folate conjugate epothilone analog bms-748285 designed selectively target folate receptor expressing cancer cell phase i/iia pharmacokinetic safety study epofolate generally tolerable toxicity known associated epothilone class anticancer agent common although peripheral neuropathy neutropenia appear le frequent le severe compared epothilones antitumor activity demonstrated development bms-753493 discontinued ,
Brigatinib,brigatinib originally named ap26113 reversible dual inhibitor anaplastic lymphoma kinase alk epidermal growth factor receptor egfr present selectivity mutant form egfr compared wild-type a31311 also exhibit selectivity 9 different crizotinib-resistant mutant eml4-alk fusion gene pivotal player transformation susceptible lung parenchyma a31313 brigatinib developed ariad pharmaceutical subsidiary takeda pharmaceutical company limited fda-approved april 28 2017 l1026 , anaplastic lymphoma kinase positive metastatic non-small cell lung cancer alk+ nsclc represents 3-5 nsclc cancer case alk mutation overexpression presence several oncogenic fusion protein solid hematologic tumor pointed importance well potential cancer therapy target a31311 alk-related case nsclc associated presence fusion gene eml4-alk fused alk protein echinoderm microtubule-associated protein like-4 whose original function correct formation microtubule a31313 presence aberrant fusion protein result abnormal signaling provokes increased cell growth proliferation survival a31316 crizotinib indicated treatment case presence alk kinase domain mutation confer resistance treatment thus brigatinib indicated treatment patient alk+ nsclc intolerance crizotinib a31314 
Carmegliptin,carmegliptin used trial studying treatment diabetes mellitus type 2 ,
PF-06273340,pf 06273340 investigation clinical trial nct01934738 study evaluate safety toleration time course plasma concentration multiple oral dos pf-06273340 healthy subject two agegroups aged 18-55 year group 1 aged 56-75 year group 2 ,
Losmapimod,losmapimod investigated prevention chronic obstructive pulmonary disease ,
ORE-1001,ore1001 used trial studying treatment mild moderate ulcerative colitis ace2 inhibitor ,
Vidupiprant,vidupiprant used trial studying treatment basic science asthma ,
Ecopipam,ecopipam used trial studying treatment tourette 's syndrome lesch-nyhan disease pathological gambling self-injurious behavior ,
Aducanumab,aducanumab biib037 monoclonal igg1 antibody target extracellular amyloid-β plaque brain similar gantenerumab bapineuzumab solanezumab a235668 a235730 aducanumab recombinant antibody derived patient slow absent cognitive decline phase 1b clinical trial data shown patient treated aducanumab show reduction amyloid-β plaque a235668 based mini-mental state examination clinical dementia rating cdr patient taking aducanumab showed sign slowing progression however data controversial a235668 a235720 clinical trial showed 23 relative difference experimental placebo group determined cdr however equivalent absolute difference 0.4/18 a235720 although aducanumab 's approval represents first drug treatment alzheimer 's disease approval conditional result l34420 biogen enrolled patient phase 3 clinical trial 2015 increased size trial 1350 patient 1650 patient maintain statistical power face high standard deviation a235720 development aducanumab discontinued march 2019 two phase 3 clinical trial pas futility analysis however biogen sought fda approval october 2019 reanalysis data a235720 aducanumab granted accelerated fda approval 7 june 2021 l34393 continued approval based trial confirming clinical benefit currently available therapy l34420 ,aducanumab indicated treatment alzheimer 's disease l34393 
Seviteronel,seviteronel used trial studying treatment crpc prostate cancer castration-resistant prostate cancer ,
Apomine,apomine used trial studying treatment osteoporosis unspecified adult solid tumor protocol specific ,
Polihexanide,polihexanide used trial studying treatment prevention supportive care caries neoplasm skin disease nail disease dental plaque among others ,
Propiverine,propiverine widely used antimuscarinic drug mixed mode action treatment symptom associated overactive bladder oab a32576 overactive bladder oab chronic condition lower urinary tract characterized urinary urgency increased frequency urination nocturia frequent waking night urinate oab negative impact quality life may lead leakage inconvenient urinary accident l2327 l2328 overactive bladder syndrome affect million elderly individual united state show equal prevalence men woman impact oab quality life sometimes devastating especially elderly patient medical condition l2328 propiverine hydrochloride bladder detrusor muscle relaxant drug dual antimuscarinic calcium-modulating property treatment oab l2317 ,indicated symptomatic treatment urinary incontinence and/or increased urinary frequency urgency patient overactive bladder oab l2315 propiverine may also used patient neurogenic bladder result spinal cord injury a32581 
OBP-801,obp-801 used trial studying treatment solid tumor ,
AZD-5423,azd5423 used trial studying basic science treatment asthma bioavailability auc chronic obstructive pulmonary disease copd ,
Luspatercept,luspatercept recombinant fusion protein comprised modified extracellular domain activin receptor type iib fused fc domain human igg1 a187829 l42455 first approved use united state november 2019 brand name reblozyl® treatment anemia patient beta thalassemia require regular blood transfusion l42455 luspatercept novel ameliorates anemia via action late-stage erythropoiesis contrast typical erythropoiesis-stimulating agent esas darbepoetin alfa epoetin alfa act early-stage erythropoiesis a187835 luspatercept 's novel mechanism action uniquely suited treatment condition late-stage erythropoiesis defective beta thalassemia myelodysplastic disease a187835 a187838 ,luspatercept indicated treatment anemia adult beta thalassemia require regular red blood cell transfusion l42455 
Defactinib,defactinib investigated treatment malignant pleural mesothelioma ,
Balapiravir,balapiravir used trial studying treatment dengue hepatitis c chronic ,
LY-2608204,ly2608204 used trial studying treatment diabetes mellitus type 2 ,
Verubecestat,verubecestat investigation treatment alzheimer 's disease prodromal alzheimer 's disease amnestic mild cognitive impairment verubecestat merck ’ investigational oral β-site amyloid precursor protein cleaving enzyme bace1 β secretase inhibitor july 2013 merck announced positive result phase ib trial verubecestat study administration verubecestat dos 12 40 60 mg resulted dose-dependent sustained reduction level ab40 measure bace1 activity csf baseline 57 79 84 percent respectively ,
Simendan,simendan investigation clinical trial nct00527059 renal effect levosimendan patient admitted acute decompensated heart failure ,
Talsaclidine,talsaclidine used trial studying treatment alzheimer disease ,
Piromelatine,piromelatine used trial studying treatment alzheimer 's disease ,
Darexaban,darexaban used trial studying prevention basic science japanese caucasian thromboembolism pharmacodynamics pharmacokinetics among others ,
Puerarin,puerarin investigated treatment alcohol abuse ,
Tacedinaline,tacedinaline used trial studying treatment lung cancer multiple myeloma pancreatic cancer ,
Barusiban,barusiban used trial studying treatment infertility vitro fertilisation ivf treatment ,
Nefopam,nefopam investigation prevention cholecystitis post anaesthetic shivering nefopam investigated prevention kidney transplantation ,
Anrukinzumab,anrukinzumab used trial studying diagnostic asthma ,
Evodenoson,evodenoson used trial studying treatment open-angle glaucoma ocular hypertension ,
GS-5745,gs-5745 used trial studying treatment tumor breast cancer crohn 's disease colorectal cancer pancreatic cancer among others ,
GLPG-0187,glpg0187 used trial studying treatment solid tumor ,
5-(hydroxymethyl)-2-furaldehyde,aes-103 used trial studying treatment prevention hypoxia anemia sickle cell sickle cell disease ,
Bavisant,bavisant used trial studying basic science treatment alcoholism pharmacokinetics drug interaction attention deficit hyperactivity disorder attention deficit disorder hyperactivity ,
P-nitrobiphenyl,pnb used trial studying treatment pelvic organ prolapse ,
Doravirine,doravirine hiv-1 non-nucleoside reverse transcriptase inhibitor nnrti intended administered combination antiretroviral medicine l12729 l4562 doravirine available combination product doravirine 100 mg lamivudine 300 mg tenofovir disoproxil fumarate 300 mg l4562 doravirine formally indicated treatment hiv-1 infection adult patient prior antiretroviral treatment experience expanding possibility choice therapeutic treatment available management hiv-1 infection l4562 ,doravirine indicated combination antiretroviral agent treatment hiv-1 infection adult patient prior antiretroviral treatment history l12729 also indicated replace current antiretroviral regimen virologically suppressed hiv-1 rna le 50 copy per ml stable antiretroviral regimen history treatment failure known substitution associated resistance doravirine l12729 
CP-724714,"cp-724,714 used trial studying treatment breast cancer breast neoplasm neoplasm metastasis ",
Motolimod,motolimod used trial studying treatment lymphoma tongue cancer ovarian cancer adult solid neoplasm fallopian tube cancer among others ,
Entolimod,entolimod used trial studying treatment mucositis tongue cancer colorectal cancer stage iva verrucous carcinoma larynx stage ivb verrucous carcinoma larynx among others ,
Dasotraline,dasotraline serotonin norepinephrine dopamine reuptake inhibitor sndri investigation treatment binge eating disorder adult attention hyperactivity disorder attention deficit hyperactivity disorder adult attention deficit hyperactivity disorder ,
Cipargamin,cipargamin used trial studying treatment malaria cure rate plasmodium falciparum malaria ,
Foretinib,foretinib used trial studying treatment cancer breast cancer carcinoma renal cell recurrent breast cancer neoplasm head neck among others foretinib orally available small molecule compound designed target multiple rtks implicated development progression spread cancer inhibits activation met ron erk akt decreased proliferation increased apoptosis ,
Eltanolone,eltanolone investigation clinical trial nct02603926 treatment fragile-x associated tremor/ataxia syndrome fxtas allopregnanolone ,
GI-181771X,gski181771 x investigation clinical trial nct00600743 effect cck-1r agonist food intake human ,
Trehalose,cabaletta used trial studying treatment oculopharyngeal muscular dystrophy ,
CP1-1189,cpi-1189 used trial studying treatment hiv infection aid dementia complex ,
ORG-25435,org 25435 used trial studying treatment anaesthesia ,
Dopexamine,dopexamine used trial studying diagnostic treatment free flap oral cancer hypotension septic shock head neck cancer ,
Chlorproguanil,chlorproguanil used trial studying treatment malaria dichloro-derivative chloroguanide ,
9CUAB30,9 cuab30 used trial studying treatment prevention her2/neu positive her2/neu negative evidence disease estrogen receptor negative estrogen receptor positive among others ,
Vanucizumab,vanucizumab used trial studying treatment colorectal cancer advanced/metastatic solid tumor ,
BMS-599626,bms-599626 used trial studying treatment cancer metastasis her2 egfr expressing advanced solid malignancy ,
Benzbromarone,benzbromarone used trial studying basic science treatment heart failure hyperuricemia chronic kidney disease abnormal renal function gout asymptomatic hyperuricemia ,
Ifetroban,ifetroban used trial studying treatment skin disease autoimmune disease pathologic process scleroderma limited scleroderma diffuse among others ,
GW-870086,gw870086x investigated treatment asthma ,
Radotinib,radotinib investigation treatment leukemia myelogenous chronic bcr-abl positive ,radotinib indicated treatment different type cancer notably philadelphia chromosome-positive ph+ chronic myeloid leukemia cml resistance intolerance bcr-abl tyrosine-kinase inhibitor patient resistant intolerant imatinib 
Idasanutlin,idasanutlin used trial studying treatment neoplasm non-hodgkin 's lymphoma leukemia myeloid acute recurrent plasma cell myeloma neoplasm leukemia acute myeloid leukemia ,
Antroquinonol,antroquinonol used trial studying treatment hyperlipidemia non-small cell lung cancer non-small cell lung cancer stage iv ,
Salvinorin A,salvinorin investigated basic science pharmaceutical preparation ,
Cantharidin,cantharidin naturally occurring odorless colorless fatty substance terpenoid class produced oral fluid alimentary canal male blister beetle a32891 a32892 natural purpose male blister beetle secretes present cantharidin female beetle copulatory gift mating post-copulation female beetle place cantharidin egg protection potential predator available synthetically since 1950s topical application cantharidin used predominantly treatment cutaneous wart since time a32891 a32892 1962 however marketer cantharidin failed produce sufficient efficacy data resulting fda revision approval cantharidin a32892 today topical cantharidin product necessarily demonstrate particular better effectiveness treating topical skin condition like wart commonly available vesicant and/or keratolytics although various study also investigated possibility using cantharidin inflammatory model cancer treatment a32892 regardless onging lack fda approval likely related certain toxic effect observed following oral ingestion includes ulceration gastrointestinal genitourinary tract along electrolyte renal function disturbance human animal a32891 , therapeutic use cantharidin currently primarily indicated active ingredient topical agent treating common wart verruca vulgaris periungual wart plantar wart molluscum contagiosum a32891 a32892 f32 time topical cantharidin application also used number off-label indication like callus removal cutaneous leishmaniasis herpes zoster acquired perforating dermatosis a32892 furthermore since topical cantharidin application commonly available 0.7 formulation potent 1 mixture 0.7 formulation commonly indicated treatment common wart periungual wart molluscum contagiosum potent 1 mixture typically limited use healthcare professional clinical setting treating plantar wart specialized off-label condition a32891 a32892 f32 moreover also study whether cantharidin could effective used inflammatory model cancer treatment either yet formally elucidate result a32892 
Eravacycline,eravacycline known _xerava_ tetraphase pharmaceutical fully synthetic fluorocycline antibiotic tetracycline class activity clinically significant gram-negative gram-positive aerobic facultative bacteria includes bacteria resistant cephalosporin fluoroquinolones β-lactam/β-lactamase inhibitor multidrug-resistant strain carbapenem-resistant enterobacteriaceae majority anaerobic pathogen a38683 first approved fda august 27 2018 l4540 eravacycline demonstrated superior potency antibiotic currently marketed intraabdominal infection a38727 ,eravacycline tetracycline class antibacterial indicated treatment complicated intra-abdominal infection patient 18 year age older fda label 
Blisibimod,blisibimod used trial studying treatment iga nephropathy microscopic polyangiitis systemic lupus erythematosus granulomatosis polyangiitis ,
Labetuzumab govitecan,labetuzumab govitecan used trial studying treatment colon cancer rectal cancer metastatic colorectal cancer ,
Rucaparib,rucaparib anticancer drug poly adp-ribose polymerase parp inhibitor parp enzyme play essential role dna repair a18745 rucaparib proposed work several parp-dependent parp-independent mechanism action however cause unique effect synthetic lethality targeting genetically-mutated cancer cell lack dna repair mechanism rucaparib cause cancer cell death reduces tumour growth a18745 a31354 rucaparib granted fda breakthrough therapy designation april 2015 a18745 accelerated approval december 2016 a249240 drug later approved european commission may 2018 l42185 currently used treat recurrent ovarian prostate cancer adult l42155 l42185 ,rucaparib indicated maintenance treatment adult patient recurrent epithelial ovarian fallopian tube primary peritoneal cancer complete partial response platinum-based chemotherapy l42155 accelerated approval fda rucaparib also indicated treatment adult patient deleterious brca mutation germline and/or somatic -associated metastatic castration-resistant prostate cancer mcrpc treated androgen receptor-directed therapy taxane-based chemotherapy l42155 
Amcipatricin,amcipatricin used trial studying treatment cryptococcosis aspergillosis infection amcipatricin amcipatricin diascorbate spk-843 water-soluble partricin derivative patented spa societa prodotti antibiotici s.p.a. developed aparts kaken potential treatment systemic fungal infection preclinical model spk-843 show vitro inhibitory activity comparable better amphotericin b candida spp. cryptococcus neoformans aspergillus spp spk-843 exhibit dose-dependent efficacy murine pulmonary aspergillosis model spk-843 dos higher 1.0 mg/kg body weight exhibit renal toxicity tendency toward better survival prolongation estimated maximum tolerated dos amphotericin b fungizone liposomal amphotericin b ,
Milataxel,milataxel used trial studying treatment mesothelioma ,
Tanezumab,tanezumab investigated treatment osteoarthritis knee neuralgia postherpetic ,
GDC-0917,cudc-427 used trial studying treatment lymphoma solid cancer ,
N-acetylsulfanilyl chloride,asc investigated screening patient undergoing screening surveillance colonoscopy ,
Carisbamate,carisbamate investigated alcohol abuse substance abuse alcohol dependence ,
Radezolid,radezolid used trial studying treatment abscess bacterial skin disease streptococcal infection infectious skin disease staphylococcal skin infection among others ,
Navitoclax,navitoclax used trial studying treatment basic science solid tumor non-hodgkin 's lymphoma egfr activating mutation chronic lymphoid leukemia hematological malignancy among others navitoclax orally bioavailable small molecule inhibitor bcl-2 family protein substance studied treatment lymphoma type cancer block enzyme keep cancer cell dying ,
LY-2456302,ly2456302 used trial studying health service research basic science anxiety disorder alcohol dependence ,
Ensituximab,ensituximab used trial studying treatment pancreatic cancer adult metastatic colorectal cancer metastatic pancreatic cancer ,
Temocillin,temocillin investigated infection liver dysfunction urinary tract infection ,
Fezakinumab,fezakinumab used trial studying treatment atopic dermatitis rheumatoid arthritis ,
MBX-2982,mbx-2982 used trial studying treatment diabetes ,
Vatelizumab,vatelizumab used trial studying treatment ulcerative colitis ,
CG-400549,cg400549 used trial studying treatment skin infection ,
"5-amino-1,3,4-thiadiazole-2-thiol",att investigated pulmonary tuberculosis ,
Dulanermin,dulanermin used trial studying treatment colorectal cancer non-hodgkin 's lymphoma metastatic colorectal cancer ,
Rostafuroxin,rostafuroxin used trial studying treatment essential hypertension ,
Siagoside,siagoside sygen agf 2 investigated treatment parkinson disease naturally occurring substance nerve cell ’ membrane thought play role cell growth development repair siagoside completed phase 2 trial parkinson 's disease pd treatment sygen appears beneficial patient severe spinal cord injury treatment result 52 decrease mortality 48 hour induction ischemia gerbil permanent unilateral ligation common carotid artery ,
Bizelesin,bizelesin used trial studying treatment unspecified adult solid tumor protocol specific ,
Ulodesine,ulodesine used trial studying treatment gout arthritis hyperuricemia joint disease ,
Imrecoxib,imrecoxib used trial studying treatment knee osteoarthritis ,
Netazepide,netazepide used trial studying prevention treatment dyspepsia hypergastrinaemia barrett 's esophagus ecl-cell hyperplasia rebound hyperacidity among others ,
Fletikumab,fletikumab investigation clinical trial nct01038674 safety tolerability anti-il-20 subject rheumatoid arthritis ,
BMS-863233,bms-863233 investigated treatment refractory hematologic cancer ,
Enbucrilate,enbucrilate investigation clinical trial nct02468206 secondary prophylaxis gastric variceal bleed ,
BIIB021,biib021 investigated treatment tumor lymphoma ,
PF-03654764,pf-03654764 used trial studying basic science treatment allergic rhinitis ,
Piclozotan,piclozotan investigated treatment parkinson 's disease ,
Diaminopropanol tetraacetic acid,diaminohydroxypropanetetraacetic acid investigated treatment vascular disease coronary disease myocardial ischemia coronary restenosis coronary artery disease among others ,
Dusigitumab,dusigitumab used trial studying treatment cancer advanced solid malignancy unresectable metastatic hepatocellular carcinoma hcc hormone-sensitive her-2 negative metastatic breast cancer ,
Betrixaban,betrixaban non-vitamin k oral anticoagulant whose action driven competitive reversible inhibition factor xa a7708 selected among lead compound due low herg channel affinity sustaining factor xa inhibition capacity a27286 betrixaban developed portola pharmaceutical inc. prescribed venous thromboembolism vte prophylactic adult patient moderate severe restricted motility risk vte a27285 vte manifested deep vein thrombosis pulmonary embolism leading cause preventable death hospitalized patient a27287 ,betrixaban indicated prophylaxis venous thromboembolism vte condition moderate severe restricted mobility patient qualify risk vte 
Perzinfotel,perzinfotel used trial studying treatment diabetes mellitus diabetic neuropathy painful ,
Vestronidase alfa,vestronidase alfa vestronidase alfa-vjbk recombinant human lysosomal beta glucuronidase purified enzyme produced recombinant dna technology chinese hamster ovary cell line enzyme homotetramer consisted 4 monomer 629 amino acid hold amino acid sequence human beta-glucuronidase gu fda label vestronidase alfa enzyme replacement therapy treatment mucopolysaccharidosis type vii mp vii also known sly syndrome inherited rare genetic metabolic condition target small subset population mp vii progressive condition affect tissue organ due lack lysosomal enzyme called beta-glucuronidase leading buildup toxic metabolite disorder initiated skeletal abnormality including short stature along pathological condition including enlarged liver spleen heart valve abnormality narrowed airway lead lung infection trouble breathing last two condition leading cause fatality patient mp vii affected individual survive infancy others may live adolescence adulthood patient may experience developmental delay progressive intellectual disability fda label clinical trial vestronidase alfa treatment demonstrated improvement stabilization motor symptom increasing patient ability walk longer distance comparison treatment placebo patient also experienced improved pulmonary function vestronidase alfa fda-approved november 17th 2017 trade name mepsevii intravenous infusion treatment pediatric adult patient ,indicated pediatric adult patient treatment mucopolysaccharidosis vii mp vii sly syndrome 
Selurampanel,selurampanel investigated adrenocortical adenoma sarcoma endometrial stromal ,
AZD-3839,azd3839 used trial studying basic science safety tolerability alzheimer 's disease blood concentration ,
Sotrastaurin,sotrastaurin used trial studying basic science treatment uveal melanoma richter syndrome prolymphocytic leukemia recurrent mantle cell lymphoma recurrent small lymphocytic lymphoma among others ,
Ipamorelin,ipamorelin investigated treatment ileus ,
Siponimod,siponimod also known _mayzent_ novartis new drug formulated management multiple sclerosis m approved fda march 26 2019 l5792 health canada february 20 2020 l12171 drug considered _sphingosine-1-phosphate s1p receptor modulator_ thought play role suppressing central nervous system inflammation associated m fda label multiple sclerosis m autoimmune disease central nervous system chronic inflammatory disrupting communication brain part body patient diagnosed illness experience initial disease symptom age 20 40 often productive year life symptom may include limited fatigue gait change bowel bladder dysfunction abnormal muscle twitching vision disturbance depressing mood swing l5801 m one common cause neurological disability young adult found occur frequently woman men a176474 l5792 , drug indicated treatment relapsing form multiple sclerosis m include clinically isolated syndrome relapsing-remitting disease active secondary progressive disease adult fda label 
Isunakinra,isunakinra investigated treatment dry eye allergic conjunctivitis ac ,
Velmanase alfa,velmanase alfa recombinant human lysosomal alpha-mannosidase developed enzyme replacement therapy treat alpha-mannosidosis alpha-mannosidosis rare autosomal recessive lysosomal storage disorder patient alpha-mannosidosis genetic mutation cause deficiency lysosomal enzyme alpha-mannosidase enzyme responsible breaking complex sugar body resulting accumulation sugar body lead array clinical manifestation leading progressive neuromuscular skeletal deterioration skeletal abnormality motor function impairment intellectual disability respiratory dysfunction a244509 long-term enzyme replacement therapy velmanase alfa intends supplement restore function deficient alpha-mannosidase velmanase alfa amino acid sequence monomeric protein identical naturally occurring human alpha-mannosidase l39744 granted marketing authorization european commission march 2018 market name lamzede l39754 first human recombinant form alpha-mannosidase a244509 currently approved united state canada ,velmanase alfa enzyme replacement therapy treatment non-neurological manifestation patient mild moderate alpha-mannosidosis l39744 
Oglemilast,oglemilast investigated treatment pulmonary disease chronic obstructive ,
Ricolinostat,ricolinostat investigation treatment breast carcinoma metastatic breast cancer ,
Relebactam,relebactam diazabicyclooctane beta-lactamase inhibitor similar structure avibactam a181195 a181207 includes piperidine ring reduces export bacterial cell producing positive charge a181207 currently available combination product includes imipenem cilastatin treat complicated urinary tract infection utis pyelonephritis complicated intra-abdominal infection adult label considered last-line treatment option gained fda approval part combination product recarbrioⓡ july 2019 l7568 ,relebactam indicated combination imipenem cilastatin treatment complicated urinary tract infection including pyelonephritis complicated intra-abdominal infection caused susceptible organism adult label 
Apricoxib,apricoxib used trial studying treatment prevention lung cancer breast cancer pancreatic cancer non small cell lung cancer metastatic pancreatic cancer among others ,
Indirubin,indirubin investigation clinical trial nct01735864 dosage determination trial indigo naturalis extract oil ointment ,
GDC-0152,gdc-0152 used trial studying treatment solid cancer ,
Merestinib,merestinib used trial studying treatment cancer solid tumor advanced cancer colorectal cancer metastatic cancer among others ,
R-306465,r306465 used trial studying treatment neoplasm ,
Cytochlor,cytochlor used trial studying treatment head neck cancer brain central nervous system tumor ,
Silatecan,silatecan used trial studying treatment gbm tumor gliosarcoma solid malignancy glioblastoma multiforme among others ,
10-hydroxycamptothecin,10-hydroxycamptothecin investigation clinical trial nct00956787 study ar-67 db-67 myelodysplastic syndrome md ,
Bacillus calmette-guerin substrain danish 1331 live antigen,bcg ssi used trial studying tuberculosis ,
OSI-027,osi-027 used trial studying treatment solid tumor lymphoma ,
Evocalcet,evocalcet used trial studying treatment hyperparathyroidism secondary hyperparathyroidism ,
Zamicastat,zamicastat used trial studying treatment hypertension chronic heart failure ,
Seladelpar,seladelpar mbx-8025 used trial studying treatment hyperlipidemia ,
Sagopilone,sagopilone used trial studying treatment melanoma neoplasm cns disease breast cancer breast neoplasm among others so-called fully synthetic epothilone first compound clinical development combat several form cancer epothilones 16-member ring macrolides antimicrotubule activity share similar mechanism action taxanes demonstrated potent antiproliferative activity several different multidrug-resistant paclitaxel-resistant tumor cell line vitro vivo ,
Resminostat,resminostat used trial studying treatment sezary syndrome mycosis fungoides hodgkin 's lymphoma hepatocellular carcinoma lymphoma t-cell cutaneous among others ,
Fanapanel,fanapanel investigated treatment visual acuity ,
Eleclazine,eleclazine used trial studying treatment lqt2 syndrome long qt syndrome ischemic heart disease ventricular arrhythmia long qt syndrome type 3 among others ,
Esreboxetine,esreboxetine used trial studying treatment basic science fibromyalgia ,
Fresolimumab,fresolimumab used trial studying treatment primary brain tumor metastatic breast cancer diffuse systemic sclerosis pleural malignant mesothelioma primary focal segmental glomerulosclerosis ,
DSM-265,dsm265 used trial studying prevention treatment malaria ,
Naproxen etemesil,naproxen etemesil used trial studying treatment osteoarthritis ,
Polmacoxib,polmacoxib used trial studying treatment osteoarthritis osteoarthritis hip osteoarthritis knee localized primary osteoarthritis hip localized primary osteoarthritis knee ,
Voxtalisib,voxtalisib used trial studying treatment cancer melanoma lymphoma glioblastoma breast cancer among others ,
Bromperidol,bromperidol used trial studying treatment dementia depression schizophrenia anxiety disorder psychosomatic disorder among others ,
